Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.75,896.57,568.6,67.54,670,425,910,0.8,0.035,0.14,0.004,0.001,0.001,169,,,,
0.7,912.28,698.04,81.88,660,431,784,0.3,0.0024,0.06,0.007,0.001,0.066,157,,,,
0.7,921.4,701.99,81.88,670,425,900,0.3,0.0021,0.06,0.005,0.001,0.065,168,,,,
0.65,905.45,697.97,80.71,660,424,725,0.3,0.0021,0.08,0.0089,0.001,0.068,169,,,,
0.7,906.95,699.58,81.88,660,365,870,0.3,0.0025,0.07,0.008,0.001,0.071,170,,,,
0.7,912.42,698.59,81.88,660,365,787,0.3,0.0025,0.07,0.008,0.001,0.071,174,,,,
0.7,905.41,696.86,81.88,660,428,870,0.3,0.0027,0.08,0.008,0.001,0.069,170,,,,
0.7,914.94,703.43,81.88,660,425,833,0.3,0.0017,0.07,0.008,0.001,0.0719,157,,,,
0.7,898.37,697.15,81.88,660,428,826,0.3,0.0022,0.07,0.007,0.001,0.068,173,,,,
0.7,916.01,701.04,81.88,660,425,750,0.3,0.0022,0.07,0.007,0.001,0.068,174,,,,
0.8,898.92,564.92,72.37,670,425,900,0.8,0.035,0.15,0.01,0.001,0.001,151,,,,
0.7,905.77,699.35,81.88,660,428,810,0.3,0.0025,0.07,0.008,0.001,0.071,177,,,,
0.7,905.92,700.76,81.88,660,425,811,0.3,0.0017,0.07,0.008,0.001,0.0719,165,,,,
0.65,901.2,697.26,80.71,660,426,810,0.3,0.0026,0.06,0.006,0.001,0.067,163,,,,
0.7,928.62,700.47,81.88,670,429,957,0.3,0.0024,0.07,0.006,0.001,0.0719,167,,,,
